arch,n_params,n_train_steps,train_mode,auc,max_gap_acc,min_gap_acc,acc_4,acc_8,acc_16,acc_32,acc_64,first_loss,last_loss,status,elapsed_s
attn_1l,210336,100,fixed8,0.004,0.015,0.0,0.005,0.0,0.015,0.0,0.0,60.4175,9.6966,ok,0.8
attn_1l,210336,100,mixed,0.005,0.015,0.0,0.005,0.0,0.005,0.015,0.0,73.6525,9.1054,ok,0.15
attn_1l,210336,250,fixed8,0.003,0.005,0.0,0.005,0.0,0.005,0.0,0.005,65.0051,7.4058,ok,0.34
attn_1l,210336,250,mixed,0.083,0.095,0.075,0.08,0.08,0.095,0.075,0.085,69.1818,4.7825,ok,0.35
attn_1l,210336,500,fixed8,0.004,0.01,0.0,0.005,0.005,0.01,0.0,0.0,64.2579,5.5714,ok,0.67
attn_1l,210336,500,mixed,0.997,1.0,0.995,0.995,1.0,1.0,0.995,0.995,69.0349,0.0112,ok,0.68
attn_1l,210336,1000,fixed8,0.334,1.0,0.02,0.115,1.0,0.475,0.06,0.02,60.3977,0.0024,ok,1.32
attn_1l,210336,1000,mixed,0.999,1.0,0.995,1.0,1.0,1.0,1.0,0.995,67.9996,0.0,ok,1.37
attn_1l,210336,2000,fixed8,0.328,1.0,0.01,0.13,1.0,0.47,0.03,0.01,69.6357,0.0,ok,2.58
attn_1l,210336,2000,mixed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,66.7274,0.0001,ok,2.63
attn_2l,322176,100,fixed8,0.006,0.015,0.0,0.01,0.0,0.015,0.0,0.005,62.8365,8.4127,ok,0.2
attn_2l,322176,100,mixed,0.006,0.015,0.0,0.015,0.0,0.0,0.005,0.01,56.9903,7.7984,ok,0.21
attn_2l,322176,250,fixed8,0.547,0.96,0.195,0.195,0.96,0.675,0.555,0.35,58.2139,0.047,ok,0.51
attn_2l,322176,250,mixed,0.818,0.875,0.78,0.795,0.845,0.875,0.795,0.78,63.0538,0.7142,ok,0.5
attn_2l,322176,500,fixed8,0.846,0.995,0.55,0.97,0.995,0.905,0.81,0.55,63.101,0.0003,ok,0.98
attn_2l,322176,500,mixed,0.997,1.0,0.995,0.995,1.0,0.995,1.0,0.995,61.3413,0.0004,ok,0.99
attn_2l,322176,1000,fixed8,0.879,1.0,0.665,0.97,1.0,0.895,0.865,0.665,59.9122,0.0002,ok,1.9
attn_2l,322176,1000,mixed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,64.1627,0.0261,ok,1.98
attn_2l,322176,2000,fixed8,0.919,1.0,0.795,0.95,1.0,0.905,0.945,0.795,66.0926,0.0,ok,3.86
attn_2l,322176,2000,mixed,0.999,1.0,0.995,1.0,0.995,1.0,1.0,1.0,69.4427,0.0002,ok,3.85
attn_4l,545856,100,fixed8,0.023,0.035,0.005,0.035,0.035,0.03,0.01,0.005,62.8647,6.6809,ok,0.33
attn_4l,545856,100,mixed,0.004,0.015,0.0,0.0,0.005,0.015,0.0,0.0,60.9086,7.3409,ok,0.35
attn_4l,545856,250,fixed8,0.817,0.995,0.52,0.94,0.995,0.96,0.67,0.52,63.8875,0.0014,ok,0.77
attn_4l,545856,250,mixed,0.981,0.99,0.965,0.965,0.99,0.985,0.98,0.985,65.6944,0.0375,ok,0.82
attn_4l,545856,500,fixed8,0.867,1.0,0.605,0.985,1.0,0.955,0.79,0.605,62.4744,0.0002,ok,1.63
attn_4l,545856,500,mixed,0.999,1.0,0.995,1.0,0.995,1.0,1.0,1.0,61.2049,0.0115,ok,1.67
attn_4l,545856,1000,fixed8,0.883,1.0,0.61,1.0,1.0,0.99,0.815,0.61,62.8377,0.0,ok,3.24
attn_4l,545856,1000,mixed,0.999,1.0,0.995,1.0,0.995,1.0,1.0,1.0,63.1044,0.0009,ok,3.1
attn_4l,545856,2000,fixed8,0.951,1.0,0.815,0.995,1.0,0.975,0.97,0.815,58.4862,0.0001,ok,6.11
attn_4l,545856,2000,mixed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,67.7358,0.0,ok,6.49
conv3_2l,253632,100,fixed8,0.004,0.005,0.0,0.005,0.005,0.005,0.005,0.0,83.815,7.3837,ok,0.27
conv3_2l,253632,100,mixed,0.004,0.005,0.0,0.005,0.005,0.005,0.005,0.0,84.4843,7.9946,ok,0.13
conv3_2l,253632,250,fixed8,0.004,0.01,0.0,0.0,0.01,0.0,0.005,0.005,79.9629,5.5998,ok,0.28
conv3_2l,253632,250,mixed,0.001,0.005,0.0,0.0,0.005,0.0,0.0,0.0,79.3805,6.1473,ok,0.3
conv3_2l,253632,500,fixed8,0.004,0.015,0.0,0.005,0.0,0.0,0.015,0.0,84.7973,5.9262,ok,0.59
conv3_2l,253632,500,mixed,0.005,0.015,0.0,0.015,0.005,0.0,0.005,0.0,81.9518,5.6687,ok,0.6
conv3_2l,253632,1000,fixed8,0.005,0.015,0.0,0.0,0.01,0.0,0.0,0.015,81.3222,5.8078,ok,1.16
conv3_2l,253632,1000,mixed,0.003,0.005,0.0,0.005,0.005,0.005,0.0,0.0,82.6937,5.7044,ok,1.2
conv3_2l,253632,2000,fixed8,0.005,0.01,0.0,0.005,0.01,0.0,0.005,0.005,81.1694,5.6481,ok,2.27
conv3_2l,253632,2000,mixed,0.004,0.005,0.0,0.005,0.005,0.005,0.005,0.0,82.2056,5.7156,ok,2.35
conv7_2l,327360,100,fixed8,0.005,0.015,0.0,0.0,0.015,0.005,0.0,0.005,83.7095,9.2532,ok,0.13
conv7_2l,327360,100,mixed,0.006,0.01,0.0,0.01,0.005,0.0,0.01,0.005,81.4409,8.1366,ok,0.16
conv7_2l,327360,250,fixed8,0.017,0.055,0.0,0.015,0.055,0.0,0.0,0.015,85.128,5.8292,ok,0.29
conv7_2l,327360,250,mixed,0.007,0.01,0.005,0.005,0.01,0.01,0.005,0.005,84.6342,6.2807,ok,0.3
conv7_2l,327360,500,fixed8,0.193,0.95,0.0,0.0,0.95,0.01,0.0,0.005,81.3426,0.1946,ok,0.57
conv7_2l,327360,500,mixed,0.009,0.04,0.0,0.04,0.0,0.0,0.0,0.005,82.4715,5.8347,ok,0.58
conv7_2l,327360,1000,fixed8,0.202,1.0,0.0,0.005,1.0,0.0,0.005,0.0,82.9528,0.0512,ok,1.15
conv7_2l,327360,1000,mixed,0.166,0.775,0.005,0.775,0.025,0.015,0.005,0.01,86.1898,5.9783,ok,1.17
conv7_2l,327360,2000,fixed8,0.206,1.0,0.005,0.01,1.0,0.01,0.005,0.005,83.8331,0.0,ok,2.3
conv7_2l,327360,2000,mixed,0.264,0.975,0.0,0.975,0.335,0.005,0.0,0.005,86.4469,5.6888,ok,2.44
conv7_4l,605376,100,fixed8,0.014,0.04,0.0,0.0,0.04,0.01,0.01,0.01,74.4609,7.8533,ok,0.18
conv7_4l,605376,100,mixed,0.004,0.01,0.0,0.01,0.005,0.005,0.0,0.0,76.087,9.9186,ok,0.19
conv7_4l,605376,250,fixed8,0.188,0.925,0.0,0.005,0.925,0.0,0.005,0.005,74.5643,0.1699,ok,0.43
conv7_4l,605376,250,mixed,0.035,0.14,0.0,0.14,0.02,0.01,0.005,0.0,74.6962,6.2533,ok,0.44
conv7_4l,605376,500,fixed8,0.196,0.97,0.0,0.0,0.97,0.005,0.0,0.005,72.5156,0.0033,ok,0.84
conv7_4l,605376,500,mixed,0.203,0.82,0.0,0.82,0.19,0.005,0.0,0.0,78.987,5.8271,ok,0.86
conv7_4l,605376,1000,fixed8,0.202,1.0,0.0,0.0,1.0,0.005,0.0,0.005,73.4725,0.0001,ok,1.64
conv7_4l,605376,1000,mixed,0.385,0.975,0.01,0.975,0.905,0.025,0.01,0.01,71.6386,5.9617,ok,1.72
conv7_4l,605376,2000,fixed8,0.204,1.0,0.0,0.005,1.0,0.005,0.0,0.01,73.1859,0.0,ok,3.31
conv7_4l,605376,2000,mixed,0.431,0.99,0.0,0.99,0.99,0.17,0.0,0.005,74.6972,5.8592,ok,3.39
ssm_2l,74720,100,fixed8,0.002,0.005,0.0,0.0,0.005,0.0,0.0,0.005,80.4252,25.4038,ok,0.62
ssm_2l,74720,100,mixed,0.002,0.01,0.0,0.01,0.0,0.0,0.0,0.0,85.3364,29.5351,ok,1.28
ssm_2l,74720,250,fixed8,0.003,0.005,0.0,0.0,0.0,0.005,0.005,0.005,83.6073,16.8551,ok,1.5
ssm_2l,74720,250,mixed,0.001,0.005,0.0,0.0,0.0,0.0,0.005,0.0,87.7416,20.4796,ok,3.1
ssm_2l,74720,500,fixed8,0.004,0.01,0.0,0.005,0.005,0.01,0.0,0.0,88.5322,12.7111,ok,2.74
ssm_2l,74720,500,mixed,0.003,0.01,0.0,0.01,0.0,0.005,0.0,0.0,90.2837,14.1149,ok,6.19
ssm_2l,74720,1000,fixed8,0.004,0.01,0.0,0.005,0.0,0.01,0.0,0.005,88.4105,5.763,ok,5.64
ssm_2l,74720,1000,mixed,0.004,0.01,0.0,0.005,0.005,0.0,0.01,0.0,91.6821,5.6855,ok,12.01
ssm_2l,74720,2000,fixed8,0.006,0.015,0.0,0.0,0.0,0.005,0.01,0.015,84.8023,5.541,ok,10.9
ssm_2l,74720,2000,mixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.1974,5.4907,ok,23.93
ssm_4l,100096,100,fixed8,0.002,0.01,0.0,0.01,0.0,0.0,0.0,0.0,86.9576,27.0857,ok,1.13
ssm_4l,100096,100,mixed,0.003,0.015,0.0,0.0,0.0,0.0,0.0,0.015,76.8713,26.2839,ok,2.55
ssm_4l,100096,250,fixed8,0.004,0.01,0.0,0.0,0.0,0.005,0.005,0.01,83.3437,23.7618,ok,2.63
ssm_4l,100096,250,mixed,0.007,0.01,0.0,0.005,0.01,0.0,0.01,0.01,85.6812,18.3181,ok,6.11
ssm_4l,100096,500,fixed8,0.003,0.005,0.0,0.005,0.0,0.005,0.0,0.005,83.8357,12.7713,ok,5.19
ssm_4l,100096,500,mixed,0.001,0.005,0.0,0.0,0.0,0.0,0.0,0.005,82.5765,14.4103,ok,11.89
ssm_4l,100096,1000,fixed8,0.006,0.02,0.0,0.02,0.0,0.005,0.005,0.0,89.8386,5.7755,ok,10.23
ssm_4l,100096,1000,mixed,0.005,0.01,0.0,0.01,0.01,0.0,0.005,0.0,88.7728,5.9375,ok,23.6
ssm_4l,100096,2000,fixed8,0.01,0.02,0.0,0.0,0.01,0.01,0.01,0.02,87.8969,5.6227,ok,20.53
ssm_4l,100096,2000,mixed,0.005,0.01,0.0,0.0,0.01,0.005,0.005,0.005,83.6027,5.5804,ok,46.92
rwkv_2l,272448,100,fixed8,0.004,0.015,0.0,0.0,0.0,0.005,0.015,0.0,91.6577,9.1097,ok,0.56
rwkv_2l,272448,100,mixed,0.001,0.005,0.0,0.0,0.0,0.0,0.005,0.0,92.4135,8.1236,ok,1.05
rwkv_2l,272448,250,fixed8,0.002,0.005,0.0,0.005,0.005,0.0,0.0,0.0,92.2429,5.7363,ok,1.3
rwkv_2l,272448,250,mixed,0.01,0.035,0.0,0.0,0.01,0.035,0.0,0.005,90.2361,6.317,ok,2.48
rwkv_2l,272448,500,fixed8,0.003,0.005,0.0,0.0,0.005,0.005,0.005,0.0,90.6401,5.7211,ok,2.39
rwkv_2l,272448,500,mixed,0.002,0.01,0.0,0.0,0.0,0.01,0.0,0.0,91.0225,5.7081,ok,4.86
rwkv_2l,272448,1000,fixed8,0.001,0.005,0.0,0.0,0.0,0.0,0.005,0.0,87.6104,5.7333,ok,4.92
rwkv_2l,272448,1000,mixed,0.005,0.01,0.0,0.005,0.0,0.005,0.01,0.005,89.7742,5.8387,ok,9.74
rwkv_2l,272448,2000,fixed8,0.004,0.01,0.0,0.005,0.01,0.0,0.005,0.0,90.6915,5.7469,ok,9.42
rwkv_2l,272448,2000,mixed,0.005,0.015,0.0,0.01,0.0,0.0,0.0,0.015,90.9142,5.6134,ok,19.29
hybrid_2l,331104,100,fixed8,0.006,0.015,0.0,0.015,0.005,0.0,0.005,0.005,60.2532,6.7668,ok,0.93
hybrid_2l,331104,100,mixed,0.007,0.01,0.0,0.01,0.0,0.01,0.005,0.01,65.1585,8.551,ok,0.17
hybrid_2l,331104,250,fixed8,0.438,0.98,0.09,0.665,0.98,0.23,0.09,0.225,63.8317,0.0282,ok,0.4
hybrid_2l,331104,250,mixed,0.007,0.01,0.005,0.01,0.005,0.01,0.005,0.005,63.0706,5.9137,ok,0.41
hybrid_2l,331104,500,fixed8,0.489,1.0,0.185,0.645,1.0,0.255,0.185,0.36,60.8738,0.0002,ok,0.8
hybrid_2l,331104,500,mixed,0.997,1.0,0.99,1.0,0.995,0.99,1.0,1.0,65.9701,0.0039,ok,0.8
hybrid_2l,331104,1000,fixed8,0.57,1.0,0.25,0.74,1.0,0.4,0.25,0.46,63.6516,0.0001,ok,1.52
hybrid_2l,331104,1000,mixed,0.999,1.0,0.995,1.0,1.0,1.0,1.0,0.995,66.1407,0.0,ok,1.58
hybrid_2l,331104,2000,fixed8,0.728,1.0,0.48,0.995,1.0,0.635,0.53,0.48,62.7012,0.0,ok,3.02
hybrid_2l,331104,2000,mixed,0.994,0.995,0.99,0.995,0.995,0.99,0.995,0.995,65.0217,0.0202,ok,3.18
hybrid_4l,563712,100,fixed8,0.004,0.005,0.0,0.005,0.005,0.005,0.0,0.005,65.6421,7.3495,ok,0.26
hybrid_4l,563712,100,mixed,0.002,0.005,0.0,0.0,0.005,0.0,0.0,0.005,60.8234,6.9528,ok,0.27
hybrid_4l,563712,250,fixed8,0.29,0.68,0.11,0.265,0.68,0.2,0.11,0.195,62.1608,1.2154,ok,0.61
hybrid_4l,563712,250,mixed,0.918,0.95,0.89,0.89,0.9,0.95,0.925,0.925,60.643,0.511,ok,0.62
hybrid_4l,563712,500,fixed8,0.68,1.0,0.405,0.68,1.0,0.675,0.64,0.405,63.9882,0.0011,ok,1.2
hybrid_4l,563712,500,mixed,0.997,1.0,0.99,0.99,1.0,1.0,1.0,0.995,61.4883,0.0012,ok,1.22
hybrid_4l,563712,1000,fixed8,0.813,1.0,0.635,0.925,1.0,0.765,0.635,0.74,59.7043,0.0066,ok,2.37
hybrid_4l,563712,1000,mixed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60.7233,0.0,ok,2.45
hybrid_4l,563712,2000,fixed8,0.689,0.995,0.43,0.695,0.995,0.745,0.58,0.43,59.0214,0.0005,ok,4.74
hybrid_4l,563712,2000,mixed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,61.1017,0.0,ok,4.84
